0,1,2,3,4
c1ccc(cc1)c2c(=O)n(c3ccc(cc3)c2)c4ccc(cc4)c2ccccc2,c1ccc(cc1)c2c3c(ccc3n2)c4ccc5c(ccc5n4)oc5ccccc5c23,C1=CC(=O)N(C)C2=CC=CC3=C(C=C(C=C3)C2)C1=O,c1ccc(cc1)c2c3c(ccc3n2)c4c2ncn2c4c2ccccc2,c1ccc(c2c1cccc2)c1ccccc1Nc1ccc(cc2c1cccc2)c2nc1ccccc12
C1=NC=NC(=C2C=CC=CC2)C=NC1,O=C1NC2=NC=NC(=C3C=CC=CC3)C=C12,O=C1NC2=NC=NC(=C3C=CC=CC3)C=C12,O=C1NC2=NC=NC(=C3C=CC=CC3)C=C12,O=C1NC2=NC=NC(=C3C=CC=CC3)C=C12
C1=NC2=NC=NC(=C3C=CC=CC3)C=C12,C1=NC(=O)C2=NC(=O)C(=C3C=CC=CC3)C2=C1,O=C1NC2=NC=NC(=C3C=CC=CC3)C=C12,O=C1NC2=NC=NC(=C3C=CC=CC3)C=C12,O=C1NC2=NC=NC(=C3C=CC=CC3)C=C12
C1=CCC(=C2C=C3C=NC3=NC=N2)C=C1,C1=CCC(=C2C=C3C=NC3=NC=N2)C=C1,C1=CCC(=C2C=C3C=NC3=NC=N2)C=C1,C1=CCC(=C2=C3C=NC3=NC=N2)C=C1,C1=CCC(=C2=C3C=NC3=NC=N2)C=C1
C1=NC(=O)C2=NC=NC(=C3C=CC=CC3)C=C12,O=C1NC2=NC=NC(=C3C=CC=CC3)C=C12,O=C1NC2=NC=NC(=C3C=CC=CC3)C=C12,C1=NC=NC=NC(=C2C=CC=CC2)C=C1,C1=NC=NC(=O)C2=NC=NC3=C2C=CC=CC3=C1
C1=Cc2cccc3c2C2=C(C1)NCN2N3,C1=Cc2cccc3c2C2=C(C1)NCN2N3,C1=Cc2cccc3c2C2=C(C1)NCN2N3,C1=Cc2cccc3c2C2=C(C1)NCN2N3,C1=Cc2cccc3c2C2=C(C1)NCN2N3
C1=CCC(=C2C=C3C=NC3=NC=N2)C=C1,C1=CCC(=C2=C3C=NC3=NC=N2)C=C1,C1=CCC(=C2=C(C=C3C=NC3=NC=N2)C=C1),C1=CCC(=C2=C(C=C3C=NC3=NC=N2)C=C1),C1=CCC(=C2=C3C=NC3=NC=N2)C=C1
O=C1NC2=NC=NC(=C3C=CC=CC3)C=C12,O=C1NC2=NC=NC(=C3C=CC=CC3)C=C12,O=C1NC2=NC=NC(=C3C=CC=CC3)C=C12,O=C1NC2=NC=NC(=C3C=CC=CC3)C=C12,C1=NC(=O)C2=NC=NC(=C3C=CC=CC3)C=C12
C1=Cc2cccc3c2C2=C(C1)NCN2N3,C1=Cc2cccc3c2C2=C(C1)NCN2N3,C1=Cc2cccc3c2C2=C(C1)NCN2N3,C1=Cc2cccc3c2C2=C(C1)NCN2N3,C1=Cc2cccc3c2C2=C(C1)NCN2N3
C1=Cc2cccc3c2C2=C(C1)NCN2N3,C1=Cc2cccc3c2C2=C(C1)NCN2N3,C1=Cc2cccc3c2C2=C(C1)NCN2N3,C1=Cc2cccc3c2C2=C(C1)NCN2N3,C1=Cc2cccc3c2C2=C(C1)NCN2N3
C1=Cc2cccc3c2C2=C(C1)NCN2N3,C1=Cc2cccc3c2C2=C(C1)NCN2N3,C1=Cc2cccc3c2C2=C(C1)NCN2N3,C1=Cc2cccc3c2C2=C(C1)NCN2N3,C1=Cc2cccc3c2C2=C(C1)NCN2N3
C1=CCC(=C2C=C3C=NC3=NC=N2)C=C1,C1=CCC(=C2C=C3C=NC3=NC=N2)C=C1,C1=CCC(=C2C=C3C=NC3=NC=N2)C=C1,C1=CCC(=C2=C(C=C3C=NC3=NC=N2)C=C1),C1=CCC(=C2C=C3C=NC3=NC=N2)C=C1
CC1=CC=CC2=CC=CC(F)C12,C1=Cc2cccc3c2C2=C(C1)NCN2N3,C1=Cc2cccc3c2C2=C(C1)NCN2N3,C1=Cc2cccc3c2C2=C(C1)NCN2N3,C1=Cc2cccc3c2C2=C(C1)NCN2N3
C1=Cc2cccc3c2C2=C(C1)NCN2N3,C1=Cc2cccc3c2C2=C(C1)NCN2N3,C1=Cc2cccc3c2C2=C(C1)NCN2N3,C1=Cc2cccc3c2C2=C(C1)NCN2N3,C1=Cc2cccc3c2C2=C(C1)NCN2N3
O=C1NC2=NC=NC(=C3C=CC=CC3)C=C12,O=C1NC2=NC=NC(=C3C=CC=CC3)C=C12,O=C1NC2=NC=NC(=C3C=CC=CC3)C=C12,O=C1NC2=NC=NC(=C3C=CC=CC3)C=C12,O=C1NC2=NC=NC(=C3C=CC=CC3)C=C12
C1=Cc2cccc3c2C2=C(C1)NCN2N3,C1=Cc2cccc3c2C2=C(C1)NCN2N3,C1=Cc2cccc3c2C2=C(C1)NCN2N3,C1=Cc2cccc3c2C2=C(C1)NCN2N3,C1=Cc2cccc3c2C2=C(C1)NCN2N3
C1=CCC(=C2=C3C=NC3=NC=N2)C=C1,C1=Cc2cccc3c2C2=C(C1)NCN2N3,C1=Cc2cccc3c2C2=C(C1)NCN2N3,C1=CCC(=C2C=C3C=NC3=NC=N2)C=C1,C1=Cc2cccc3c2C2=C(C1)NCN2N3
O=C1NC2=NC=NC(=C3C=CC=CC3)C=C12,O=C1NC2=NC=NC(=C3C=CC=CC3)C=C12,O=C1NC2=NC=NC(=C3C=CC=CC3)C=C12,C1=Cc2cccc3c2C2=C(C1)NCN2N3,C1=Cc2cccc3c2C2=C(C1)NCN2N3
C1=Cc2cccc3c2C2=C(C1)NCN2N3,C1=Cc2cccc3c2C2=C(C1)NCN2N3,C1=Cc2cccc3c2C2=C(C1)NCN2N3,C1=Cc2cccc3c2C2=C(C1)NCN2N3,C1=Cc2cccc3c2C2=C(C1)NCN2N3
C1=CCC(=C2=C3C=NC3=NC=N2)C=C1,C1=CCC(=C2=C3C=NC3=NC=N2)C=C1,C1=CCC(=C2C=C3C=NC3=NC=N2)C=C1,C1=CCC(=C2C=C3C=NC3=NC=N2)C=C1,C1=CCC(=C2C=C3C=NC3=NC=N2)C=C1
C1=CC(c2cccc3c2C2CC=CN=C2C3)C=CC1,C1=Cc2cccc3c2C2=C(C1)NCN2N3,C1=CC(C(C2=CC=CC=C2)C3=CC=CC=C3)C=CC1,C1=CC(c2cccc3c2C2CC=CN=C2C3)C=CC1,C1=CNC=C(CCC2=C3CC4=C(CC=CC4)N3N=CC2)C1
C1=CC2=Nc3cc2nc2c3ccc1Nc1ccc2c(c1)Nc1ccc2c(c1)N,C1=CC2=N(C(=C(C(=C1)C(C(C(C1=CC=NC1)C1)C(C(C(=C1)N)C1)C(=C1)C(=C1)N)C2)C(=C1)C(=C1)C(=C1)N)C1=NC=NC1,C1=CC2=N(C(N=C(C3=C2C(=C1)C(=C1)CCCN1)N)C3)N,C1=CC2=N(C(=C1)C(=C1)C(C(C(C1)C(=C1)N)C2)N)N,C1=CC2=N(C(=C(C(=C1)C(C(C(C1=CC=NC=C1)N)C)C)C)C)N2
C1=Cc2cccc3c2C2=C(C1)NCN2N3,C1=Cc2cccc3c2C2=C(C1)NCN2N3,C1=Cc2cccc3c2C2=C(C1)NCN2N3,C1=Cc2cccc3c2C2=C(C1)NCN2N3,C1=Cc2cccc3c2C2=C(C1)NCN2N3
C1=Cc2cccc3c2C2=C(C1)NCN2N3,C1=Cc2cccc3c2C2=C(C1)NCN2N3,C1=Cc2cccc3c2C2=C(C1)NCN2N3,C1=Cc2cccc3c2C2=C(C1)NCN2N3,C1=Cc2cccc3c2C2=C(C1)NCN2N3
C1=Cc2cccc3c2C2=C(C1)NCN2N3,C1=Cc2cccc3c2C2=C(C1)NCN2N3,C1=Cc2cccc3c2C2=C(C1)NCN2N3,C1=Cc2cccc3c2C2=C(C1)NCN2N3,C1=Cc2cccc3c2C2=C(C1)NCN2N3
C1=Cc2cccc3c2C2=C(C1)NCN2N3,C1=Cc2cccc3c2C2=C(C1)NCN2N3,C1=Cc2cccc3c2C2=C(C1)NCN2N3,C1=Cc2cccc3c2C2=C(C1)NCN2N3,C1=NC2=C(C=CC3=C2C=CC=3)C1=O
C1=Cc2cccc3c2C2=C(C1)NCN2N3,C1=Cc2cccc3c2C2=C(C1)NCN2N3,C1=Cc2cccc3c2C2=C(C1)NCN2N3,C1=Cc2cccc3c2C2=C(C1)NCN2N3,C1=Cc2cccc3c2C2=C(C1)NCN2N3
C1=Cc2cccc3c2C2=C(C1)NCN2N3,C1=Cc2cccc3c2C2=C(C1)NCN2N3,C1=Cc2cccc3c2C2=C(C1)NCN2N3,C1=Cc2cccc3c2C2=C(C1)NCN2N3,C1=Cc2cccc3c2C2=C(C1)NCN2N3
C1=Cc2cccc3c2C2=C(C1)NCN2N3,C1=Cc2cccc3c2C2=C(C1)NCN2N3,C1=Cc2cccc3c2C2=C(C1)NCN2N3,C1=Cc2cccc3c2C2=C(C1)NCN2N3,C1=Cc2cccc3c2C2=C(C1)NCN2N3
C1=Cc2cccc3c2C2=C(C1)NCN2N3,C1=Cc2cccc3c2C2=C(C1)NCN2N3,C1=Cc2cccc3c2C2=C(C1)NCN2N3,C1=Cc2cccc3c2C2=C(C1)NCN2N3,C1=Cc2cccc3c2C2=C(C1)NCN2N3
C1=Cc2cccc3c2C2=C(C1)NCN2N3,C1=Cc2cccc3c2C2=C(C1)NCN2N3,C1=Cc2cccc3c2C2=C(C1)NCN2N3,C1=Cc2cccc3c2C2=C(C1)NCN2N3,C1=Cc2cccc3c2C2=C(C1)NCN2N3
O=C1NC2=NC=NC(=C3C=CC=CC3)C=C12,O=C1NC2=NC=NC(=C3C=CC=CC3)C=C12,C1=NC=NC(=C2C=CC=CC2)C=C1,O=C1NC2=NC=NC(=C3C=CC=CC3)C=C12,O=C1NC2=NC=NC(=C3C=CC=CC3)C=C12
C1=Cc2cccc3c2C2=C(C1)NCN2N3,C1=Cc2cccc3c2C2=C(C1)NCN2N3,C1=Cc2cccc3c2C2=C(C1)NCN2N3,C1=Cc2cccc3c2C2=C(C1)NCN2N3,C1=Cc2cccc3c2C2=C(C1)NCN2N3
C1=Cc2cccc3c2C2=C(C1)NCN2N3,C1=Cc2cccc3c2C2=C(C1)NCN2N3,C1=Cc2cccc3c2C2=C(C1)NCN2N3,C1=Cc2cccc3c2C2=C(C1)NCN2N3,C1=Cc2cccc3c2C2=C(C1)NCN2N3
C1=CCC(=C2=C3C=NC3=NC=N2)C=C1,O=C1NC2=NC=NC(=C3C=CC=CC3)C=C12,O=C1NC2=NC=NC(=C3C=CC=CC3)C=C12,O=C1NC2=NC=NC(=C3C=CC=CC3)C=C12,C1=NC(=O)C2=NC(=O)N=C1C2=CC=CC2=C1
C1=Cc2cccc3c2C2=C(C1)NCN2N3,C1=Cc2cccc3c2C2=C(C1)NCN2N3,C1=Cc2cccc3c2C2=C(C1)NCN2N3,C1=Cc2cccc3c2C2=C(C1)NCN2N3,C1=Cc2cccc3c2C2=C(C1)NCN2N3
O=C1NC2=NC=NC(=C3C=CC=CC3)C=C12,O=C1NC2=NC=NC(=C3C=CC=CC3)C=C12,O=C1NC2=NC=NC(=C3C=CC=CC3)C=C12,O=C1NC2=NC=NC(=C3C=CC=CC3)C=C12,O=C1NC2=NC=NC(=C3C=CC=CC3)C=C12
C1=Cc2cccc3c2C2=C(C1)NCN2N3,C1=Cc2cccc3c2C2=C(C1)NCN2N3,C1=Cc2cccc3c2C2=C(C1)NCN2N3,C1=Cc2cccc3c2C2=C(C1)NCN2N3,C1=Cc2cccc3c2C2=C(C1)NCN2N3
C1=Cc2cccc3c2C2=C(C1)NCN2N3,C1=Cc2cccc3c2C2=C(C1)NCN2N3,C1=Cc2cccc3c2C2=C(C1)NCN2N3,C1=Cc2cccc3c2C2=C(C1)NCN2N3,C1=Cc2cccc3c2C2=C(C1)NCN2N3
C1=Cc2cccc3c2C2=C(C1)NCN2N3,C1=Cc2cccc3c2C2=C(C1)NCN2N3,C1=Cc2cccc3c2C2=C(C1)NCN2N3,C1=Cc2cccc3c2C2=C(C1)NCN2N3,O=C1NC2=NC=NC(=C3C=CC=CC3)C=C12
C1=Cc2cccc3c2C2=C(C1)NCN2N3,C1=Cc2cccc3c2C2=C(C1)NCN2N3,C1=Cc2cccc3c2C2=C(C1)NCN2N3,C1=Cc2cccc3c2C2=C(C1)NCN2N3,C1=Cc2cccc3c2C2=C(C1)NCN2N3
C1=Cc2cccc3c2C2=C(C1)NCN2N3,C1=Cc2cccc3c2C2=C(C1)NCN2N3,C1=Cc2cccc3c2C2=C(C1)NCN2N3,C1=Cc2cccc3c2C2=C(C1)NCN2N3,C1=Cc2cccc3c2C2=C(C1)NCN2N3
C1=NC=NC(=O)C2=NC=CC=CC2=C1,O=C1NC2=NC=NC(=C3C=CC=CC3)C=C12,O=C1NC2=NC=NC(=C3C=CC=CC3)C=C12,O=C1NC2=NC=NC(=C3C=CC=CC3)C=C12,O=C1NC2=NC=NC(=C3C=CC=CC3)C=C12
C1=Cc2cccc3c2C2=C(C1)NCN2N3,C1=Cc2cccc3c2C2=C(C1)NCN2N3,C1=Cc2cccc3c2C2=C(C1)NCN2N3,C1=Cc2cccc3c2C2=C(C1)NCN2N3,C1=Cc2cccc3c2C2=C(C1)NCN2N3
