init_top40,bo_top40
-9.4,-9.100000381469728
-8.5,-8.800000190734863
-8.3,-8.800000190734863
-8.0,-8.699999809265137
-8.0,-8.699999809265137
-7.9,-8.399999618530273
-7.8,-8.199999809265137
-7.8,-8.199999809265137
-7.8,-7.900000095367432
-7.7,-7.5
-7.6,-7.5
-7.5,-7.5
-7.5,-7.400000095367432
-7.5,-7.400000095367432
-7.5,-7.400000095367432
-7.4,-7.400000095367432
-7.4,-7.300000190734863
-7.3,-7.199999809265137
-7.3,-7.199999809265137
-7.3,-7.199999809265137
-7.3,-7.199999809265137
-7.2,-7.199999809265137
-7.2,-7.099999904632568
-7.1,-7.099999904632568
-7.1,-7.0
-7.0,-7.0
-7.0,-6.900000095367432
-7.0,-6.900000095367432
-7.0,-6.900000095367432
-6.9,-6.800000190734863
-6.8,-6.800000190734863
-6.7,-6.800000190734863
-6.7,-6.800000190734863
-6.7,-6.699999809265137
-6.7,-6.699999809265137
-6.6,-6.699999809265137
-6.6,-6.699999809265137
-6.6,-6.699999809265137
-6.6,-6.699999809265137
-6.5,-6.599999904632568
