smiles,rdkit3d_docking_score,sdf_docking_score,qed_score,sascore,logp,mw
CCCCC1CCC2CCCCCCC(CCCC)(CC=C=C(C)CC2)C1,-6.699999809265137,-8.5,0.4071581745137909,0.4594212318868986,9.3954,372.68100000000015
C=CCC1CC(=O)C(=C=CCCN(C=C)C(C)C=CCN=CC2CC(C(F)F)C=CC2CCCF)C=C1c1ccccc1,-7.199999809265137,-7.5,0.0833127863713894,0.4175237889768916,8.991000000000001,590.7740000000003
CC=CC1CC(C)C(C)CC(C)(O)C(CCC2CC(C)CCC2CO)C1,-7.0,-8.6,0.6027891824125599,0.5158985107434002,5.826900000000007,364.6140000000002
C#CC1CCC(=C(F)C=c2ccc3c(N)c2=CNC2C=CCC4=C2C(C=C3C)COC4)C1,-7.800000190734863,-7.8,0.4072064749489034,0.3306052290819432,3.722200000000004,428.5510000000003
CC(C)C1Cc2cc(Cl)cc(c2)C2C(CC3CCNC32)C2CC(N)CC2C1,-7.199999809265137,-7.7,0.7127021827838156,0.3988422338746759,4.9935000000000045,387.0110000000002
C=CC(C)C(O)CC1CCC(O)C(C2CCC(C3CCCC3)C2)C(C)C1,-6.599999904632568,-7.4,0.4781965438324912,0.5519394053841636,5.579300000000006,362.5980000000002
CCC1=C2C(=O)CC3CCC(C(=O)CCC(C)=O)C4(C)C5C(C)CCC(C)C5CC(C)C(C1)C4C23,-7.400000095367432,-7.5,0.417017320307499,0.4656137865760115,7.227100000000009,480.73300000000046
CC1C=CC(=CCF)C(NCC23C=C=CCC(CC=CCF)CCOCCN(C2)C(O)(O)C3)C1,1000.0,-7.9,0.2950147503061084,0.2982921868449558,3.820700000000002,478.6240000000004
CC1CCC(OCC2Oc3cc(F)ccc3OCCC3CCC(=O)C2C3C)CC1,-8.300000190734863,-8.9,0.6960978798047863,0.4928138271665822,5.182300000000005,404.52200000000033
CCCCCOC(=O)CCCC1CC2(OC(C)C(C)=O)CCC1CC2F,-6.199999809265137,-6.8,0.387835567372118,0.4965610503470223,4.781100000000005,370.5050000000002
CC1CCC(C2CC(C3CC4CCC(C)(C4)C3)C2=O)C1,-7.599999904632568,-9.1,0.7036087227748182,0.4831292120943099,4.844200000000005,274.44800000000004
CCC(C)=CCC1CCC2CCOC(C3CCC(C)(C)C3)C2(C)C=C1O,-6.599999904632568,-8.3,0.5571506383005409,0.5162459163851294,6.822400000000007,360.5820000000002
C=C(CC=CCCC)CC(C)CC(C)CCCC(O)C(=O)O,-6.300000190734863,-6.4,0.4727958337293896,0.6072509092891083,4.957200000000005,310.478
C=CCC1=C2CC3(C)CCC(C)C3C3=CC4C5CC6CC7C=C(C)CC74CC6CCC5C(=C32)C1C,-8.899999618530273,-8.6,0.3557138860998138,0.2640250365760115,9.2264,466.7530000000004
C=C1C2=C3CC1C(C)C1C=CNCC(CCC4C(C)CC=C=CC35C(CCC45)C(O)C2)C1,-7.599999904632568,-9.1,0.4493882353199797,0.3655661215151613,6.172900000000007,431.66400000000016
CCC(O)C1CC2C(C)CC1C(C)C1CCCCC(C)CCC(C)C(C3CCC(C)C3)NC21,-7.599999904632568,-9.0,0.4531366151366,0.3740153187278739,7.691100000000009,459.8030000000003
