0,1,2,3,4
C=COC1=C(C(C)(O)O)CC=C(CCCCC(=C)O)C1,C1=CC=CC(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C,C1=CC(=O)C(C(C)C(C(=O)O)C(C)C(=O)C(C)C)C1,C1=CC=CC(C(=O)O)C1(C(C)C)C(=O)C(CCCCC=C)C,C1=CC(=O)OCC(C)(O)C1CC(=O)C(CCCCC(=C)O)C1
C=COC1=C(CC(C)(O)O)CC=C(CCCCC(=C)O)C1,C1=CC=CC1C(=O)C1=CC=C(C(C)(O)O)C(C)C(=C)OCC1,C1=CC(=O)OCC(C)(O)C1(C)CCC(=C)CC(C)C(=O)C1=CC(=O)O1,C1=CC(=O)OCC1(C)C(C(=O)O)C(C)C(=C)C(C)C,C1=CC(C(=O)O)CC=C(C(C(C)C)C(=O)C)C1
C1=CC(=O)O1C(C(=O)O)C(C)C(=O)C(C)C(C)C(=O)C1(C)C=CC(=O)O1C(C)C,CC1=CC(C(C=CC(C)O)C(C)C(=O)OCC(C)C)CC(=O)C1C(=O)O,C1=CC(=O)OCC(C)C(=O)C(C)CC1(C)C(=O)OCC(C)C(=O)C1=CC(=O)O1,C1=CC=CC(=O)O1C(C)C(=O)C(C)C(C)C(=O)C1=CC(=O)O1C,C1=CC(C(C=CC(C)O)C(C)C(=O)OCC(C)C)CC(=O)C1C(=O)O
C1=CC(=O)C2=C(C(=O)C(C(=O)O)C2)C1C(=O)C1C(=O)C2=C(C(=O)O)C(C=C(C(=O)O)C2)C1,C1=CC(=O)C1C1C(=O)CC1C1C(=O)OC2=C(C(C=C(C(=O)O)C2)C1=O)C1,C1=CC(=O)C1CC(=O)C1=CC=CC1OC1=C(C(C(=O)O)C2=CC=CC2=C1)O,C1=CC(=O)C2=C(C(C(=O)O)C2)C1C(=O)C1C(=O)C2=C(C(C(=O)O)C2)C1,C1=C(C(=O)CC=C1)C1=C(C(=O)O)C(C(=O)O)C2=C(C(=O)O)C(C(=O)O)C2=O
C1=CC(=O)C1CCC1=C(C(=O)O)C1=CC(=O)C1C(=O)OCC1=C(C(=O)O)C1,C1=CC(=O)C1CCC1=C(C(=O)C1OC1=CC(=O)C1(C)C=CC1=O)C1=C(C(=O)O)C1,C1=CC(=O)C(C(=O)O)C1=CC(=O)C1C(=O)OC2=C(C(C)C(=O)O)C2=C1,C1=CC(=O)C1(C(C(=O)O)C1=CC(=O)C1C(=O)O)C1=C(C=C(C(=O)O)C1)C1=O,C1=C(C(=O)C)C(=O)C1(C)C(=O)C1(C)C(=O)C(=O)C1(C)C(=O)O
C1=CC(=O)C(C1)C1=CC(=O)C(C1)OC1=C(C=C(C(=O)O)C1)C1=O,C1=CC(=O)C(C(=O)O)C1C1=CC(=O)OCC2=C(C(=O)O)C(C)C2=O,C1=C(C(=O)C(C(=O)C1)C(C(=O)OC2=C(C=C(C(=O)O)C2)C1=O))C1=O,C1=C(C(=O)CC=C1C1C(=O)OC2=C(C(C(=O)O)C2)C1=O)C1=C(C(=O)OC2=C(C(C(=O)O)C2)C1=O),C1=CC(=O)C1CC1=C(C(=O)C1=CC(=O)OC2=C(C(C(=O)O)C2)C1=O)C1
COC(=O)COC1CC(N2CC(O)C(O)C2O)=C(O)C(c2ccccc2)C1O,C1CCC(O)C1(C(C)COC(C(CO)CO)C(O)C2OCCC(CO)C(O)C(C)C2=O)C(C)C2CCC(N)C2CC1O,C1=CC=CC=C1C(C)OC1CC(=C=C2CC=C(O)C(O)C2O)C2=CC=C(CCC(C)=O)CC2C(O)C1,CC(C(C(C(C1(N(C2(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C,CC(C=O)COC1(CCC2C(O)CC(C(C)C)C2C)CCC23C(CC2C1O)C(O)=C(O)CC3(C)F
C1CC(C)C1C(C)C2C(C(=O)C3(OC4CC(C(O)CO)C(O)C4O3)C2CCC(=O)O)C(O)C1CO,CC(C)C1C(C)C2C(C(=O)C3C(O)C4C(C(O)COC(O)C4O3)C2CCC(=O)O)C(O)C1CCO,CC(C)C1C(C)C2C(C(=O)C3(OC4CC(C(O)CO)C(O)C4O)C2CCC(=O)O)C(O)C1CO,C(C)CC1C(C)C2C(C(=O)C3(C(C(O)C4(C(C(O)C(O)C4)O)O)C3)C2CCC(=O)O)C(O)C1CO,C(C)C1C(C)C2C(C(=O)C3(OC4CC(C(O)CO)C(O)C4O)C2CCC(=O)O)C(O)C1CO
C1CCC(C(=O)C2CCCC2(C(C)CO)C(=O)CCOCC1)C=COCC(=O)C(O)C(C)CCCO1,C1CCC(C(O)C2CCCC2)C=COCC(=O)C(O)C(C)CCCO1,C=CCC1CC(C(O)C2CCCC2)C=COCC(=O)C(O)C(C)CCCO1,C1CCC2CC(C(O)C3CCCC3)C=COCC(=O)C(O)C(C)CCCO2C1,C=CCC1CC(C(O)C2CCCC2)C=COCC(=O)C(O)C(C)CCCO1
C1CCC2C(C(C(O)C1)OC2)C(C(C)O)C3C(C(C)OC(C)C3)C(C(C)O)C(C(C)O)C(C(C)O)C(C(C)O)C(C(C)O)C(C(C)O)C(C(C)O)C(C(C)O,C1CCOC(CO)(CC2OC(C3C(=O)C(O)C(O)C3O)OC2CCO)CCC(O)C(=CCO)C1,C1CCOC(CO)(CC2OC(C3C(=O)C(O)C(O)C3O)OC2CCO)CCC(O)C(=CCO)C1,CC1COC(CO)(CC2OC(C3C(=O)C(O)C(O)C3O)OC2CCO)CCC(O)C(=CCO)C1,C1CCC(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C
