init_top40,bo_top40
-7.8,-8.399999618530273
-7.6,-8.399999618530273
-7.3,-8.300000190734863
-7.3,-8.199999809265137
-7.2,-8.199999809265137
-7.0,-8.0
-7.0,-7.900000095367432
-6.8,-7.800000190734863
-6.8,-7.800000190734863
-6.8,-7.800000190734863
-6.6,-7.599999904632568
-6.5,-7.599999904632568
-6.5,-7.5
-6.5,-7.5
-6.5,-7.5
-6.5,-7.5
-6.5,-7.400000095367432
-6.4,-7.300000190734863
-6.4,-7.199999809265137
-6.3,-7.199999809265137
-6.3,-7.099999904632568
-6.3,-7.099999904632568
-6.2,-7.099999904632568
-6.1,-7.099999904632568
-6.1,-7.099999904632568
-6.0,-7.099999904632568
-5.9,-7.0
-5.9,-7.0
-5.9,-7.0
-5.8,-7.0
-5.7,-6.900000095367432
-5.6,-6.900000095367432
-5.6,-6.900000095367432
-5.6,-6.900000095367432
-5.6,-6.900000095367432
-5.6,-6.800000190734863
-5.5,-6.800000190734863
-5.4,-6.699999809265137
-5.4,-6.699999809265137
-5.4,-6.599999904632568
