smiles,rdkit3d_docking_score,sdf_docking_score,qed_score,sascore,logp,mw
N=C1CCCNCCCC(=N)CC1,-5.5,-5.7,0.5254541167465429,0.6119421420236056,1.96974,181.283
CC1C(=O)CCC(O)C1C=C1CCCCO1,-5.4,-5.3,0.7411320524668058,0.5749199228966797,2.0469,224.3
CCC1C(=O)N(CCCC2CCC(C)C2)C(=O)C1C,-4.7,-4.0,0.7156447677087964,0.6315395251655196,3.233900000000002,265.397
CC1CCC=C=CC2=CCC(=O)CN2C1=O,-5.8,-6.1,0.5802453708415879,0.4917546921274488,1.8129,217.26799999999992
O=C(C1CCCCCCC1)C1CCC2CCN1C(O)C2,-3.0,-5.0,0.8440914695379185,0.5485805326022181,3.1088000000000027,279.424
CC1NCCC(CC2CC(O)C3(C)CCN2CC3)CC1=O,21.6,-4.6,0.8115611907963085,0.4772987517615897,1.5689999999999995,294.4390000000001
OC1CC=NCC12CC=CCCN2,-5.3,-5.5,0.5331408833069649,0.4600945158366857,0.5002,180.251
O=CC(O)C(=O)CC12CCC(CC1)C2,-5.1,-4.9,0.5405386041550919,0.5323081588332875,1.0857,196.246
C1=C=CCC=CNCNCC=NCCC=C=1,-3.6,-6.2,0.6010948988291527,0.4093529222963078,1.5229,215.3
CC(=O)C(C(=O)N1CCCCC1)N1CCCCC1,-5.4,-4.9,0.7137015396661938,0.7310082408066101,1.4423999999999992,252.3579999999999
OC1C2CCCC2CC12CC1CCCCC1O2,-4.2,6.2,0.7005240009446029,0.5085372137989574,2.885200000000001,236.35499999999996
C=CCNC1=NCCCC1,-3.7,-3.8,0.5721007202674162,0.702878580573828,1.3444,138.214
O=CC1CCCC2C=CC(C=CCC3=CCCC3)CC2C1=O,-2.5,1.7,0.4372227973264176,0.517701264642491,4.419600000000004,298.426
Oc1cccc2c1CCC2,-4.5,-4.6,0.5740289824983895,0.8089811800433239,1.8809,134.178
CC(=O)CC(=O)C(C)CC=O,-4.2,-4.1,0.4358638678698597,0.6549322416959236,0.7597,156.18099999999998
C1=CCC2NCCCC2C1,-4.2,-4.3,0.5010485083237917,0.6263776588328032,1.7046,137.226
