0,1,2,3,4
C1=CC=CC=CC1C1=CC=CC=CC1C(=O)N=CC1,C1=CC(=O)C1CCC1=CN1C=CC=C1,C1=CCCc2ccccc12,C1CCC(C)CC1CC2=CC(C(C(=O)CCC(C)O)CC(C)C)O)CC3CCC(C)C1C23,C1CCC(C2CC=CCCCC2)C1CC(=O)O
CCNC(=O)C1CCCN1OC,C1CCC(C1)C1CCC(C(C)CC1)C1C2CC(C)CC2C1,CC1=C(C(C)C2CCCCC2C)CC(CC(C)CO)C1O,c1ccc(c2ccccc2)c3ccccc3c1,CC1CCC2=C(CCC2=O)C1C
CCC(C)CC1CC2C(=C3CCC4CCCC4C32)C1OC,CC1=CC=C2C=CC=C12,C1C(C(C(O)C2CC(C(C(O)C2O)CC)C)C1O)CCC,C1=CN(C2CCCC2)C=CC1,C1=CN(C2CCNC2)N=CC1
CCCCCC(C)C1=C2CCCC2C1=O,C1CCC(C(=O)CCCO)C(C)=C1C,C1=CC=CC(=O)C(C)CC1,C1CCC(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C,C1CNCC(C2CCNC2)C1
C1=C(F)C(F)C=C1C(F)(F)F,c1ccc(c2ccccc2)c3ccccc3c1,C1=CC=C2C=CC=C12,C1CCC(C)C1=CC2=CC=CC2=O,C1=CC=CC=CC=CC(C)C1
C1CCC2(C(C)C(C)C1)C2(C(C)CC(C)CC(C)C)CC(C)CO,C1CCC2=C(C1)C1=CC(C(C3CCCCC3)C)CC1=C2,C1=CCC=CC1OC1CC2=C(CC=CC2)C1,C1=CC=CC2=C1C=CC2,CCC(C)CC1CC2C(=C3CCC4CCCC4C32)C1OC1
C1CCCCC(=O)C1CCC,CC1(C)CCCC1(O)CCc1cccc1C(O)c1N,C1CCC(C2CC=CCCCC2)C1CC(=O)O,CC1CCC=CC=CC1=O,C1CCC(=O)CCC1C
CC1CC2CCC(CO)CC2CC1C,C1=CC(=O)C(C1)C(=O)C1CCCCC=C1,CCC1CC2=C(C1)C1=CC(CC3CCCCC3)CC1=C2,CC1CCCC1CC(=O)O,CCC(=O)CC1C=C(C)C2CCCC2C1
c1ccc(cc2ccccc2)c1c1ccccc1,C1CCC(=O)C1CCC(=O),C1CNCC(C2CCNC2)C1,C1CCC(C1)C2=C3CCC(C2)C3,C1CCC(C2CCC3C2(C(C(C(C3)C)C)C)C)C1=O
C1CCC(C2=C3CCC(C3)C2)C1,C1CCC(CC)CC=C1,C1CCC(C)CC1CC2CC(C(=O)CCC(C)O)C2CC3CC(C)CC(C)CC3,C1=CC=CC=CC(C(F)C(F))C,C[Fe](c1cccc(c1)C(F)(F)F)C(F)(F)F
