0,1,2,3,4
C[Fe](C1=CC=CC=C1)C1=CC=CC=C1F,C[Fe]1CCccc1C1=CC=CC1F,C[Fe]1ccccc1C1=CC=CC1F,C1=CC=CC(C1)C(F)C1=CC=CC1F,C(F)C1CCccc1C1=CC=CC1F
C1=CCCc2ccccc12,C1=CCCc2ccccc12,C1=CCCc2ccccc12,C1=CCCc2ccccc12,C1=CCCc2ccccc12
CCC1CC2CCCCC2C1=O,C1CCC2CCC1(C2)C=O,C1CCC(C2CCC3C2(CCC3)C1)C(=O),C1CCC1CCC2C2C=O,C1CCC2CCC1CCC2=O
C1=CCCc2ccccc12,CC1=CCCc2ccccc12,C[In][C]1CCCC1=C(C=C)C1=C[C]F,CC1=CCCc2ccccc12,C1=CCCc2ccccc12
Fc1ccccc1C1=CC=CC1F,C(F)C1CCC(C1)C1=CC=CC1F,Fc1ccccc1C1=CC=CC1F,Fc1ccccc1C1=CC=CC1F,C[Fe](c1ccccc1)C1=CC=CC1F
C1=CCCc2ccccc12,C1=CCCc2ccccc12,C1=CCCc2ccccc12,C1=CCCc2ccccc12,CC1=CCCc2ccccc12
C1=CC=CC(C(F)C1)C1=CC=CC1F,C1=CC=CC1C1=CC=CC1F,C1CCC(F)c1c1c(cc1)C(=C)C1F,Fc1ccccc1C1=CC=CC1F,C1=CC=CC(C1)C(F)C1=CC=CC1F
C1=CC=CC(C(F)C1)C(F)C1CC=CC=C1,C1=CC=CC(C(F)C1)C1CC=CC=C1F,C1=CC=CC(C1)C(F)C1=CC=CC1F,C1=CC=CC(C1)C1=CC=CC1F,C1CCC1C(=CC=CC1)F
C1CC=CC=CC1C(F)C1C=CC=CC1,C1CCC(=C)C1C(F)C1C=CC=CC1,C1CC=CC=CC1C(F)C1C=CC=CC1,C1CC=CC=CC1C(F)C1C=CC=CC1,C1CC=CC=CC1C(F)C1C=CC=CC1
C1C(C(F)C(C(F)C(C(F)C1)=C)C=CC=C1)C(F)C1C=CC=CC1,C1CC=CC=CC1C(F)C1C=CC=CC1,C1CC=CC=CC1C(F)C1C=CC=CC1,C1CC=CC=CC1C(F)C1C=CC=CC1,C1CC=CC=CC1C(F)C1C=CC=CC1
