0,1,2,3,4
C[C@@H](C(=O)O)c1ccc(cc1)c2ccc(F)c2,C[C@@H](C(=O)O)c1ccc(cc1)c2ccccc2c3c(F)cc3,C[C@@H](C(=O)O)c1ccc(cc2ccccc2)c1c(F)C,C[C@@H](C(=O)O)c1ccc(c2ccccc2)c1c(F)c1,C[C@H](C(=O)O)c1ccc(c2ccccc2)c1c3ccccc3F
C[C@@H](C(=O)O)c1ccc(cc2ccccc2)c1c(F)c1,C[C@H](C(=O)O)c1ccc(c2ccccc2)c(F)c1,C[C@@H](C(=O)O)c1ccc(cc2ccccc2)c1c(F)C,C[C@H](C(=O)O)c1ccc(cc2ccccc2)c1c(F)C,C[C@H](C(=O)O)c1ccc(cc2ccccc2)c1c(F)C
C[C@H](C(=O)O)c1ccc(c2ccccc2)c1c(F)c1ccccc1,C[C@@H](C(=O)O)c1ccc(cc2ccccc2)c1c(F)c1,C[C@@H](C(=O)O)c1ccc(c2ccccc2)c(F)c1,C1CCC(=O)C1c2ccc(cc2)c3ccc(cc3)F,C1CCC(=O)C(C(F)c1ccc(cc1)c1ccc(cc1)c1ccc(cc1)O)C
C[C@@H](C(=O)O)c1ccc(cc2ccccc2)c1c(F)C,C[C@H](C(=O)O)c1ccc(cc2ccccc2)c1c(F)c1,C[C@@H](C(=O)O)c1ccc(c2ccccc2)c(F)c1,C[C@@H](C(=O)O)c1ccc(c2ccccc2)c1c(F)c1,C[C@@H](C(=O)O)c1ccc(cc2ccccc2)c1c(F)c1
C[C@H](C(=O)O)c1ccc(-c2ccccc2)c(F)c1,C[C@@H](C(=O)O)c1ccc(c2ccccc2)c1c(F)c1ccccc1,C[C@@H](C(=O)O)c1ccc(cc2ccccc2)c1c(F)C,C[C@@H](C(=O)O)c1ccc(c2ccccc2)c1c(F)c1ccccc1,C[C@@H](C(=O)O)c1ccc(c2ccccc2)c(F)c1
C1CCC(=O)C2CC(C(C(C(C(C2)C)C)C)C)CC(=O)C1,C1CCC(=O)C[C@H]1CC[C@H]1[C@H]1CC[C@]2(C)C(=O)CC[C@H]12,C1CCC(=O)C2CCC1CC1CC2CC(C)C(=O)CC2CC1CC2,C1CCC(=O)C2CCC(C)C(=O)CC1,C1CCC(=O)C2CCC(C)C(=O)CC1C2
C1=CC=CC=C1CNCCC1=C2CC=CC=CC2=N1,C1CCC(=O)C2CCC1CC2CC1CC2C(C)C(=O)CC1CC2CCC1C2,C1=CC=CC=C1CNCCC1=C2C=CC=CC2=N1,C1=CC=CC=CC1CNCCC1=C2C=CC=CC2=N1,Cn1cccc1CNCCC1=C2CC(=C)C2=NC1
CN[C@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1c1nc2c(-c3ccccc3)cccc2s1)C1CCCCC1,CC(=O)NCC1(C(=O)NCC2CCC3C2c4cnc5c4c(cc5)cc1)C1CCCCC1,CC(=O)NCC(=O)NCC1CCC[C@H]1c1nc2c(-c3ccccc3)cccc2s1CCC1CCCCC1CN1CCC(=O)N1C,CN[C@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1c1nc2c(-c3ccccc3)cccc2S1)C1CCCCC1,CN[C@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1c1nc2c(-c3ccccc3)cccc2s1)C1CCCCC1
Oc1cc(Cn2cc(C3CC3)nn2)ccc1Oc1ccccc1Cl,Oc1cc(Cn2cc(C3CC3)nn2)ccc1Oc1ccccc1Cl,Oc1cc(Cn2cc(C3CC3)nn2)ccc1Oc1ccccc1Cl,C1c2ccccc2OC(C1)c1ccc(cc1)C2CC(C(NC2=CC=CC=C2)N2)C3CC3OC1ccc(cc1)C1=CC=CC=C1Cl,C1CC1c1ccc(cc1)C1c2ccccc2n2c3ccccc3n2c1Oc1cccc1C(Cl)
C[C@@H](C(=O)O)c1ccc(cc2ccccc2C2=C(F)C=C2)cc1,C1CCC(=O)C[C@H]1CC[C@H]1[C@H]2CC[C@]2(C)C(=O)CC[C@H]12,C1=CC=CC(CNCCC2=C3CC=CC=CC3=N2)C=C1,C1=CC=CC(CNCCC2=C3CC=CC=C3N2)C=C1,C1=CC=CC(CNCCC2=C3C=CC=CC=C3=N2)C=C1
